,Temperature (Kelvin),Fraction Folded
0,273.15,0.9861756021998045
1,274.15,0.9850912767677757
2,275.15,0.9839320944332459
3,276.15,0.9826937378520596
4,277.15,0.9813717121252026
5,278.15,0.9799613440571997
6,279.15,0.9784577821974019
7,280.15,0.9768559977551833
8,281.15,0.9751507864846193
9,282.15,0.9733367716383825
10,283.15,0.9714084080942346
11,284.15,0.9693599877604695
12,285.15,0.9671856463688181
13,286.15,0.9648793717644869
14,287.15,0.9624350138029901
15,288.15,0.9598462959620281
16,289.15,0.9571068287736986
17,290.15,0.9542101251775408
18,291.15,0.9511496178881121
19,292.15,0.9479186788617799
20,293.15,0.9445106409359294
21,294.15,0.9409188216996862
22,295.15,0.9371365496383438
23,296.15,0.9331571925738075
24,297.15,0.9289741884004582
25,298.15,0.9245810780898108
26,299.15,0.9199715409082194
27,300.15,0.915139431759745
28,301.15,0.9100788205313212
29,302.15,0.9047840332797561
30,303.15,0.8992496950603074
31,304.15,0.893470774154976
32,305.15,0.8874426274158949
33,306.15,0.8811610463959458
34,307.15,0.8746223038958094
35,308.15,0.8678232005149806
36,309.15,0.8607611107548817
37,310.15,0.8534340281861601
38,311.15,0.8458406091607382
39,312.15,0.8379802145233624
40,313.15,0.8298529487584705
41,314.15,0.8214596959972762
42,315.15,0.8128021523081398
43,316.15,0.8038828537014696
44,317.15,0.7947051992993194
45,318.15,0.7852734691500747
46,319.15,0.775592836210435
47,320.15,0.7656693720702251
48,321.15,0.7555100460601737
49,322.15,0.7451227174578998
50,323.15,0.7345161205919769
51,324.15,0.7236998427367319
52,325.15,0.7126842947896947
53,326.15,0.7014806748273529
54,327.15,0.6901009247409374
55,328.15,0.6785576802599655
56,329.15,0.6668642147747054
57,330.15,0.6550343774671861
58,331.15,0.6430825263513629
59,332.15,0.6310234569043134
60,333.15,0.6188723270398668
61,334.15,0.6066445792320945
62,335.15,0.5943558606372309
63,336.15,0.5820219420879577
64,337.15,0.5696586368430131
65,338.15,0.5572817199677478
66,339.15,0.5449068491980017
67,340.15,0.5325494881013386
68,341.15,0.5202248322974812
69,342.15,0.5079477394354097
70,343.15,0.495732663549823
71,344.15,0.48359359433660437
72,345.15,0.47154400179784417
73,346.15,0.45959678661405434
74,347.15,0.44776423650669045
75,348.15,0.43605798876018614
76,349.15,0.4244889989813114
77,350.15,0.41306751608658265
78,351.15,0.40180306342726135
79,352.15,0.3907044258873852
80,353.15,0.3797796427242602
81,354.15,0.36903600586364615
82,355.15,0.35848006331384147
83,356.15,0.3481176273241651
84,357.15,0.33795378688389704
85,358.15,0.3279929241372078
86,359.15,0.31823873427750915
87,360.15,0.30869424848039795
88,361.15,0.29936185943716226
89,362.15,0.29024334905985705
90,363.15,0.2813399179434264
91,364.15,0.2726522161893262
92,365.15,0.2641803752177296
93,366.15,0.2559240402208815
94,367.15,0.24788240293768884
95,368.15,0.2400542344584568
96,369.15,0.23243791779820655
97,370.15,0.22503148000660994
98,371.15,0.2178326236117598
99,372.15,0.2108387572233695
100,373.15,0.20404702514819234
