,Temperature (Kelvin),Fraction Helix
0,273.0,0.3844268771124443
1,274.0,0.3712334733384752
2,275.0,0.3582667855157881
3,276.0,0.34554074600639656
4,277.0,0.3330679260458447
5,278.0,0.3208595230984654
6,279.0,0.3089253613879976
7,280.0,0.29727390470096954
8,281.0,0.28591228042807454
9,282.0,0.2748463137103746
10,283.0,0.26408057049164546
11,284.0,0.2536184082437236
12,285.0,0.24346203312573036
13,286.0,0.2336125623575099
14,287.0,0.22407009062884756
15,288.0,0.2148337594255987
16,289.0,0.2059018282278117
17,290.0,0.1972717466198609
18,291.0,0.18894022644493993
19,292.0,0.18090331323303216
20,293.0,0.1731564562298033
21,294.0,0.16569457645138908
22,295.0,0.15851213228479746
23,296.0,0.15160318224397307
24,297.0,0.14496144457622573
25,298.0,0.13858035349185654
26,299.0,0.13245311186077244
27,300.0,0.12657274028340879
28,301.0,0.12093212249923212
29,302.0,0.11552404714464015
30,303.0,0.11034124591342268
31,304.0,0.105376428207495
32,305.0,0.10062231239385183
33,306.0,0.09607165380605315
34,307.0,0.09171726964572645
35,308.0,0.08755206095197762
36,309.0,0.0835690318149167
37,310.0,0.07976130601420742
38,311.0,0.07612214126518702
39,312.0,0.07264494125414993
40,313.0,0.06932326564128681
41,314.0,0.06615083820495109
42,315.0,0.06312155329471043
43,316.0,0.06022948075339208
44,317.0,0.05746886946031194
45,318.0,0.054834149639330296
46,319.0,0.052319934066519726
47,320.0,0.04992101830323098
48,321.0,0.047632380071351135
49,322.0,0.04544917787868314
50,323.0,0.04336674899372469
51,324.0,0.041380606860774403
52,325.0,0.039486438038292854
53,326.0,0.03768009873583311
54,327.0,0.03595761101766287
55,328.0,0.03431515873444807
56,329.0,0.03274908323804944
57,330.0,0.031255878928609315
58,331.0,0.029832188677673007
59,332.0,0.02847479916606959
60,333.0,0.027180636170677307
61,334.0,0.025946759829979595
62,335.0,0.02477035991448324
63,336.0,0.02364875112457374
64,337.0,0.022579368435225396
65,338.0,0.021559762504133512
66,339.0,0.020587595157264327
67,340.0,0.019660634963524673
68,341.0,0.018776752908193004
69,342.0,0.017933918172924206
70,343.0,0.01713019402851655
71,344.0,0.016363733845191266
72,345.0,0.015632777223872026
73,346.0,0.014935646250840227
74,347.0,0.01427074187717428
75,348.0,0.013636540423538979
76,349.0,0.013031590210163965
77,350.0,0.012454508311226369
78,351.0,0.011903977432318308
79,352.0,0.011378742909232449
80,353.0,0.01087760982591919
81,354.0,0.010399440249159187
82,355.0,0.009943150577237707
83,356.0,0.009507708999707116
84,357.0,0.009092133065162288
85,358.0,0.008695487353834465
86,359.0,0.008316881251725895
87,360.0,0.007955466822948506
88,361.0,0.007610436776904121
89,362.0,0.00728102252693325
90,363.0,0.006966492337073609
91,364.0,0.00666614955359566
92,365.0,0.006379330918026381
93,366.0,0.006105404958423725
94,367.0,0.005843770455728727
95,368.0,0.005593854982092454
96,369.0,0.005355113508151297
97,370.0,0.005127027076307427
98,371.0,0.004909101537155632
99,372.0,0.004700866346286731
100,373.0,0.0045018734187883234
